"Region","DisplayName","ProvidersAvailable","ProvidersUnavailable","GlobalProviders"
"eastus","East US","209","67","42"
"westus2","West US 2","180","96","42"
"eastus2","East US 2","171","105","42"
"southcentralus","South Central US","164","112","42"
"westus","West US","159","117","42"
"centralus","Central US","158","118","42"
"westus3","West US 3","148","128","42"
"westcentralus","West Central US","139","137","42"
"northcentralus","North Central US","124","152","42"
"eastus2euap","East US 2 EUAP","64","212","42"
"centraluseuap","Central US EUAP","55","221","42"
"eastusstg","East US STG","0","276","42"
"westus2stage","West US 2 (Stage)","0","276","42"
"northcentralusstage","North Central US (Stage)","0","276","42"
"eastusstage","East US (Stage)","0","276","42"
"southcentralusstage","South Central US (Stage)","0","276","42"
"southcentralusstg","South Central US STG","0","276","42"
"westusstage","West US (Stage)","0","276","42"
"centralusstage","Central US (Stage)","0","276","42"
"eastus2stage","East US 2 (Stage)","0","276","42"
